ID,koppen,year,doy,longitude,latitude,value
CA-Cbo,Dfb,2005,49,-79.9341,44.3184,0.1782
CA-Cbo,Dfb,2005,65,-79.9341,44.3184,0.1049
CA-Cbo,Dfb,2005,81,-79.9341,44.3184,0.2679
CA-Cbo,Dfb,2005,97,-79.9341,44.3184,0.2372
CA-Cbo,Dfb,2005,113,-79.9341,44.3184,0.2926
CA-Cbo,Dfb,2005,129,-79.9341,44.3184,0.3573
CA-Cbo,Dfb,2005,145,-79.9341,44.3184,0.4575
CA-Cbo,Dfb,2005,161,-79.9341,44.3184,0.6097
CA-Cbo,Dfb,2005,177,-79.9341,44.3184,0.6286
CA-Cbo,Dfb,2005,193,-79.9341,44.3184,0.4992
CA-Cbo,Dfb,2005,209,-79.9341,44.3184,0.5768
CA-Cbo,Dfb,2005,225,-79.9341,44.3184,0.6599
CA-Cbo,Dfb,2005,241,-79.9341,44.3184,0.5086
CA-Cbo,Dfb,2005,257,-79.9341,44.3184,0.5099
CA-Cbo,Dfb,2005,273,-79.9341,44.3184,0.4803
CA-Cbo,Dfb,2005,289,-79.9341,44.3184,0.3837
CA-Cbo,Dfb,2005,305,-79.9341,44.3184,0.3051
CA-Cbo,Dfb,2005,321,-79.9341,44.3184,0.2525
CA-Cbo,Dfb,2005,337,-79.9341,44.3184,0.3725
CA-Cbo,Dfb,2005,353,-79.9341,44.3184,0.4147
CA-Cbo,Dfb,2006,1,-79.9341,44.3184,0.3799
CA-Cbo,Dfb,2006,17,-79.9341,44.3184,0.1493
CA-Cbo,Dfb,2006,33,-79.9341,44.3184,0.154
CA-Cbo,Dfb,2006,49,-79.9341,44.3184,0.2156
CA-Cbo,Dfb,2006,65,-79.9341,44.3184,0.2353
CA-Cbo,Dfb,2006,81,-79.9341,44.3184,0.2606
CA-Cbo,Dfb,2006,97,-79.9341,44.3184,0.2971
CA-Cbo,Dfb,2006,113,-79.9341,44.3184,0.3273
CA-Cbo,Dfb,2006,129,-79.9341,44.3184,0.4388
CA-Cbo,Dfb,2006,145,-79.9341,44.3184,0.6022
CA-Cbo,Dfb,2006,161,-79.9341,44.3184,0.6183
CA-Cbo,Dfb,2006,177,-79.9341,44.3184,0.6883
CA-Cbo,Dfb,2006,193,-79.9341,44.3184,0.6232
CA-Cbo,Dfb,2006,209,-79.9341,44.3184,0.6483
CA-Cbo,Dfb,2006,225,-79.9341,44.3184,0.6722
CA-Cbo,Dfb,2006,241,-79.9341,44.3184,0.5755
CA-Cbo,Dfb,2006,257,-79.9341,44.3184,0.4822
CA-Cbo,Dfb,2006,273,-79.9341,44.3184,0.3442
CA-Cbo,Dfb,2006,289,-79.9341,44.3184,0.2915
CA-Cbo,Dfb,2006,305,-79.9341,44.3184,0.3031
CA-Cbo,Dfb,2006,321,-79.9341,44.3184,0.2851
CA-Cbo,Dfb,2006,337,-79.9341,44.3184,0.2153
CA-Cbo,Dfb,2006,353,-79.9341,44.3184,0.248
CA-Cbo,Dfb,2007,1,-79.9341,44.3184,0.1677
CA-Cbo,Dfb,2007,17,-79.9341,44.3184,0.1682
CA-Cbo,Dfb,2007,33,-79.9341,44.3184,0.136
CA-Cbo,Dfb,2007,49,-79.9341,44.3184,0.1352
CA-Cbo,Dfb,2007,65,-79.9341,44.3184,0.1605
CA-Cbo,Dfb,2007,81,-79.9341,44.3184,0.2727
CA-Cbo,Dfb,2007,97,-79.9341,44.3184,0.3023
CA-Cbo,Dfb,2007,113,-79.9341,44.3184,0.2577
CA-Cbo,Dfb,2007,129,-79.9341,44.3184,0.3404
CA-Cbo,Dfb,2007,145,-79.9341,44.3184,0.6993
CA-Cbo,Dfb,2007,161,-79.9341,44.3184,0.5812
CA-Cbo,Dfb,2007,177,-79.9341,44.3184,0.6116
CA-Cbo,Dfb,2007,193,-79.9341,44.3184,0.584
CA-Cbo,Dfb,2007,209,-79.9341,44.3184,0.6351
CA-Cbo,Dfb,2007,225,-79.9341,44.3184,0.505
CA-Cbo,Dfb,2007,241,-79.9341,44.3184,0.5548
CA-Cbo,Dfb,2007,257,-79.9341,44.3184,0.5164
CA-Cbo,Dfb,2007,273,-79.9341,44.3184,0.4762
CA-Cbo,Dfb,2007,289,-79.9341,44.3184,0.2964
CA-Cbo,Dfb,2007,305,-79.9341,44.3184,0.2653
CA-Cbo,Dfb,2007,321,-79.9341,44.3184,0.2105
CA-Cbo,Dfb,2007,337,-79.9341,44.3184,0.227
CA-Cbo,Dfb,2007,353,-79.9341,44.3184,0.1826
CA-Cbo,Dfb,2008,1,-79.9341,44.3184,0.1826
CA-Cbo,Dfb,2008,17,-79.9341,44.3184,0.1868
CA-Cbo,Dfb,2008,33,-79.9341,44.3184,0.21
CA-Cbo,Dfb,2008,49,-79.9341,44.3184,0.2304
CA-Cbo,Dfb,2008,65,-79.9341,44.3184,0.1255
CA-Cbo,Dfb,2008,81,-79.9341,44.3184,0.1869
CA-Cbo,Dfb,2008,97,-79.9341,44.3184,0.2992
CA-Cbo,Dfb,2008,113,-79.9341,44.3184,0.2873
CA-Cbo,Dfb,2008,129,-79.9341,44.3184,0.3006
CA-Cbo,Dfb,2008,145,-79.9341,44.3184,0.4522
CA-Cbo,Dfb,2008,161,-79.9341,44.3184,0.5263
CA-Cbo,Dfb,2008,177,-79.9341,44.3184,0.6275
CA-Cbo,Dfb,2008,193,-79.9341,44.3184,0.6522
CA-Cbo,Dfb,2008,209,-79.9341,44.3184,0.5297
CA-Cbo,Dfb,2008,225,-79.9341,44.3184,0.6258
CA-Cbo,Dfb,2008,241,-79.9341,44.3184,0.5539
CA-Cbo,Dfb,2008,257,-79.9341,44.3184,0.4644
CA-Cbo,Dfb,2008,273,-79.9341,44.3184,0.3547
CA-Cbo,Dfb,2008,289,-79.9341,44.3184,0.25
CA-Cbo,Dfb,2008,305,-79.9341,44.3184,0.233
CA-Cbo,Dfb,2008,321,-79.9341,44.3184,0.1577
CA-Cbo,Dfb,2008,337,-79.9341,44.3184,0.1501
CA-Cbo,Dfb,2008,353,-79.9341,44.3184,0.289
CA-Cbo,Dfb,2009,1,-79.9341,44.3184,0.2032
CA-Cbo,Dfb,2009,17,-79.9341,44.3184,0.1527
CA-Cbo,Dfb,2009,33,-79.9341,44.3184,0.1735
CA-Cbo,Dfb,2009,49,-79.9341,44.3184,0.1001
CA-Cbo,Dfb,2009,65,-79.9341,44.3184,0.2903
CA-Cbo,Dfb,2009,81,-79.9341,44.3184,0.2886
CA-Cbo,Dfb,2009,97,-79.9341,44.3184,0.2899
CA-Cbo,Dfb,2009,113,-79.9341,44.3184,0.2873
CA-Cbo,Dfb,2009,129,-79.9341,44.3184,0.3717
CA-Cbo,Dfb,2009,145,-79.9341,44.3184,0.5916
CA-Cbo,Dfb,2009,161,-79.9341,44.3184,0.593
CA-Cbo,Dfb,2009,177,-79.9341,44.3184,0.5827
CA-Cbo,Dfb,2009,193,-79.9341,44.3184,0.6109
CA-Cbo,Dfb,2009,209,-79.9341,44.3184,0.6549
CA-Cbo,Dfb,2009,225,-79.9341,44.3184,0.5686
CA-Cbo,Dfb,2009,241,-79.9341,44.3184,0.5089
CA-Cbo,Dfb,2009,257,-79.9341,44.3184,0.4668
CA-Cbo,Dfb,2009,273,-79.9341,44.3184,0.2625
CA-Cbo,Dfb,2009,289,-79.9341,44.3184,0.3285
CA-Cbo,Dfb,2009,305,-79.9341,44.3184,0.2156
CA-Cbo,Dfb,2009,321,-79.9341,44.3184,0.2854
CA-Cbo,Dfb,2009,337,-79.9341,44.3184,0.2482
CA-Cbo,Dfb,2009,353,-79.9341,44.3184,0.2148
CA-Cbo,Dfb,2010,1,-79.9341,44.3184,0.161
CA-Cbo,Dfb,2010,17,-79.9341,44.3184,0.2741
CA-Cbo,Dfb,2010,33,-79.9341,44.3184,0.1896
CA-Cbo,Dfb,2010,49,-79.9341,44.3184,0.222
CA-Cbo,Dfb,2010,65,-79.9341,44.3184,0.2678
CA-Cbo,Dfb,2010,81,-79.9341,44.3184,0.2415
CA-Cbo,Dfb,2010,97,-79.9341,44.3184,0.2585
CA-Cbo,Dfb,2010,113,-79.9341,44.3184,0.2619
CA-Cbo,Dfb,2010,129,-79.9341,44.3184,0.4658
CA-Cbo,Dfb,2010,145,-79.9341,44.3184,0.7344
CA-Cbo,Dfb,2010,161,-79.9341,44.3184,0.6103
CA-Cbo,Dfb,2010,177,-79.9341,44.3184,0.5392
CA-Cbo,Dfb,2010,193,-79.9341,44.3184,0.5087
CA-Cbo,Dfb,2010,209,-79.9341,44.3184,0.5396
CA-Cbo,Dfb,2010,225,-79.9341,44.3184,0.5162
CA-Cbo,Dfb,2010,241,-79.9341,44.3184,0.5173
CA-Cbo,Dfb,2010,257,-79.9341,44.3184,0.4787
CA-Cbo,Dfb,2010,273,-79.9341,44.3184,0.4362
CA-Cbo,Dfb,2010,289,-79.9341,44.3184,0.3455
CA-Cbo,Dfb,2010,305,-79.9341,44.3184,0.2382
CA-Cbo,Dfb,2010,321,-79.9341,44.3184,0.3251
CA-Cbo,Dfb,2010,337,-79.9341,44.3184,0.1634
CA-Cbo,Dfb,2010,353,-79.9341,44.3184,0.2502
CA-Cbo,Dfb,2011,1,-79.9341,44.3184,0.2206
CA-Cbo,Dfb,2011,17,-79.9341,44.3184,0.2173
CA-Cbo,Dfb,2011,33,-79.9341,44.3184,0.1991
CA-Cbo,Dfb,2011,49,-79.9341,44.3184,0.214
CA-Cbo,Dfb,2011,65,-79.9341,44.3184,0.1339
CA-Cbo,Dfb,2011,81,-79.9341,44.3184,0.2011
CA-Cbo,Dfb,2011,97,-79.9341,44.3184,0.275
CA-Cbo,Dfb,2011,113,-79.9341,44.3184,0.2817
CA-Cbo,Dfb,2011,129,-79.9341,44.3184,0.4269
CA-Cbo,Dfb,2011,145,-79.9341,44.3184,0.5615
CA-Cbo,Dfb,2011,161,-79.9341,44.3184,0.6416
CA-Cbo,Dfb,2011,177,-79.9341,44.3184,0.5731
CA-Cbo,Dfb,2011,193,-79.9341,44.3184,0.6233
CA-Cbo,Dfb,2011,209,-79.9341,44.3184,0.6179
CA-Cbo,Dfb,2011,225,-79.9341,44.3184,0.6041
CA-Cbo,Dfb,2011,241,-79.9341,44.3184,0.4836
CA-Cbo,Dfb,2011,257,-79.9341,44.3184,0.5313
CA-Cbo,Dfb,2011,273,-79.9341,44.3184,0.4384
CA-Cbo,Dfb,2011,289,-79.9341,44.3184,0.3381
CA-Cbo,Dfb,2011,305,-79.9341,44.3184,0.2576
CA-Cbo,Dfb,2011,321,-79.9341,44.3184,0.2635
CA-Cbo,Dfb,2011,337,-79.9341,44.3184,0.258
CA-Cbo,Dfb,2011,353,-79.9341,44.3184,0.1871
CA-Cbo,Dfb,2012,1,-79.9341,44.3184,0.1871
CA-Cbo,Dfb,2012,17,-79.9341,44.3184,0.2974
CA-Cbo,Dfb,2012,33,-79.9341,44.3184,0.2415
CA-Cbo,Dfb,2012,49,-79.9341,44.3184,0.1856
CA-Cbo,Dfb,2012,65,-79.9341,44.3184,0.1891
CA-Cbo,Dfb,2012,81,-79.9341,44.3184,0.2435
CA-Cbo,Dfb,2012,97,-79.9341,44.3184,0.2235
CA-Cbo,Dfb,2012,113,-79.9341,44.3184,0.3257
CA-Cbo,Dfb,2012,129,-79.9341,44.3184,0.4411
CA-Cbo,Dfb,2012,145,-79.9341,44.3184,0.5065
CA-Cbo,Dfb,2012,161,-79.9341,44.3184,0.6246
CA-Cbo,Dfb,2012,177,-79.9341,44.3184,0.5604
CA-Cbo,Dfb,2012,193,-79.9341,44.3184,0.5701
CA-Cbo,Dfb,2012,209,-79.9341,44.3184,0.6445
CA-Cbo,Dfb,2012,225,-79.9341,44.3184,0.6195
CA-Cbo,Dfb,2012,241,-79.9341,44.3184,0.5947
CA-Cbo,Dfb,2012,257,-79.9341,44.3184,0.4927
CA-Cbo,Dfb,2012,273,-79.9341,44.3184,0.2596
CA-Cbo,Dfb,2012,289,-79.9341,44.3184,0.271
CA-Cbo,Dfb,2012,305,-79.9341,44.3184,0.2661
CA-Cbo,Dfb,2012,321,-79.9341,44.3184,0.2272
CA-Cbo,Dfb,2012,337,-79.9341,44.3184,0.295
CA-Cbo,Dfb,2012,353,-79.9341,44.3184,0.1789
CA-Cbo,Dfb,2013,1,-79.9341,44.3184,0.3323
CA-Cbo,Dfb,2013,17,-79.9341,44.3184,0.2672
CA-Cbo,Dfb,2013,33,-79.9341,44.3184,0.1553
CA-Cbo,Dfb,2013,49,-79.9341,44.3184,0.2117
CA-Cbo,Dfb,2013,65,-79.9341,44.3184,0.1427
CA-Cbo,Dfb,2013,81,-79.9341,44.3184,0.3751
CA-Cbo,Dfb,2013,97,-79.9341,44.3184,0.2682
CA-Cbo,Dfb,2013,113,-79.9341,44.3184,0.3187
CA-Cbo,Dfb,2013,129,-79.9341,44.3184,0.4351
CA-Cbo,Dfb,2013,145,-79.9341,44.3184,0.5559
CA-Cbo,Dfb,2013,161,-79.9341,44.3184,0.6297
CA-Cbo,Dfb,2013,177,-79.9341,44.3184,0.3064
CA-Cbo,Dfb,2013,193,-79.9341,44.3184,0.6106
CA-Cbo,Dfb,2013,209,-79.9341,44.3184,0.5733
CA-Cbo,Dfb,2013,225,-79.9341,44.3184,0.6233
CA-Cbo,Dfb,2013,241,-79.9341,44.3184,0.5113
CA-Cbo,Dfb,2013,257,-79.9341,44.3184,0.5458
CA-Cbo,Dfb,2013,273,-79.9341,44.3184,0.3998
CA-Cbo,Dfb,2013,289,-79.9341,44.3184,0.2931
CA-Cbo,Dfb,2013,305,-79.9341,44.3184,0.2329
CA-Cbo,Dfb,2013,321,-79.9341,44.3184,0.1629
CA-Cbo,Dfb,2013,337,-79.9341,44.3184,0.4264
CA-Cbo,Dfb,2013,353,-79.9341,44.3184,0.0687
CA-Cbo,Dfb,2014,1,-79.9341,44.3184,0.2637
CA-Cbo,Dfb,2014,17,-79.9341,44.3184,0.2648
CA-Cbo,Dfb,2014,33,-79.9341,44.3184,0.2119
CA-Cbo,Dfb,2014,49,-79.9341,44.3184,0.2125
CA-Cbo,Dfb,2014,65,-79.9341,44.3184,0.2221
CA-Cbo,Dfb,2014,81,-79.9341,44.3184,0.2482
CA-Cbo,Dfb,2014,97,-79.9341,44.3184,0.2659
CA-Cbo,Dfb,2014,113,-79.9341,44.3184,0.3307
CA-Cbo,Dfb,2014,129,-79.9341,44.3184,0.3389
CA-Cbo,Dfb,2014,145,-79.9341,44.3184,0.5312
CA-Cbo,Dfb,2014,161,-79.9341,44.3184,0.6294
CA-Cbo,Dfb,2014,177,-79.9341,44.3184,0.7267
CA-Cbo,Dfb,2014,193,-79.9341,44.3184,0.5422
CA-Cbo,Dfb,2014,209,-79.9341,44.3184,0.5911
CA-Cbo,Dfb,2014,225,-79.9341,44.3184,0.5708
CA-Cbo,Dfb,2014,241,-79.9341,44.3184,0.4893
CA-Cbo,Dfb,2014,257,-79.9341,44.3184,0.5188
CA-Cbo,Dfb,2014,273,-79.9341,44.3184,0.412
CA-Cbo,Dfb,2014,289,-79.9341,44.3184,0.296
CA-Cbo,Dfb,2014,305,-79.9341,44.3184,0.3482
CA-Cbo,Dfb,2014,321,-79.9341,44.3184,0.0944
CA-Cbo,Dfb,2014,337,-79.9341,44.3184,0.3808
CA-Cbo,Dfb,2014,353,-79.9341,44.3184,0.2078
CA-Cbo,Dfb,2015,1,-79.9341,44.3184,0.2662
CA-Cbo,Dfb,2015,17,-79.9341,44.3184,0.1718
CA-Cbo,Dfb,2015,33,-79.9341,44.3184,0.1816
CA-Cbo,Dfb,2015,49,-79.9341,44.3184,0.1665
CA-Cbo,Dfb,2015,65,-79.9341,44.3184,0.2381
CA-Cbo,Dfb,2015,81,-79.9341,44.3184,0.2437
CA-Cbo,Dfb,2015,97,-79.9341,44.3184,0.2878
CA-Cbo,Dfb,2015,113,-79.9341,44.3184,0.2691
CA-Cbo,Dfb,2015,129,-79.9341,44.3184,0.4279
CA-Cbo,Dfb,2015,145,-79.9341,44.3184,0.6466
CA-Cbo,Dfb,2015,161,-79.9341,44.3184,0.5831
CA-Cbo,Dfb,2015,177,-79.9341,44.3184,0.6527
CA-Cbo,Dfb,2015,193,-79.9341,44.3184,0.5843
CA-Cbo,Dfb,2015,209,-79.9341,44.3184,0.6503
CA-Cbo,Dfb,2015,225,-79.9341,44.3184,0.564
CA-Cbo,Dfb,2015,241,-79.9341,44.3184,0.5964
CA-Cbo,Dfb,2015,257,-79.9341,44.3184,0.5382
CA-Cbo,Dfb,2015,273,-79.9341,44.3184,0.4157
CA-Cbo,Dfb,2015,289,-79.9341,44.3184,0.3028
CA-Cbo,Dfb,2015,305,-79.9341,44.3184,0.2734
CA-Cbo,Dfb,2015,321,-79.9341,44.3184,0.156
CA-Cbo,Dfb,2015,337,-79.9341,44.3184,0.3246
CA-Cbo,Dfb,2015,353,-79.9341,44.3184,0.3803
CA-Cbo,Dfb,2016,1,-79.9341,44.3184,0.3589
CA-Cbo,Dfb,2016,17,-79.9341,44.3184,0.1764
CA-Cbo,Dfb,2016,33,-79.9341,44.3184,0.1391
CA-Cbo,Dfb,2016,49,-79.9341,44.3184,0.1656
CA-Cbo,Dfb,2016,65,-79.9341,44.3184,0.254
CA-Cbo,Dfb,2016,81,-79.9341,44.3184,0.2319
CA-Cbo,Dfb,2016,97,-79.9341,44.3184,0.2281
CA-Cbo,Dfb,2016,113,-79.9341,44.3184,0.3363
CA-Cbo,Dfb,2016,129,-79.9341,44.3184,0.3512
CA-Cbo,Dfb,2016,145,-79.9341,44.3184,0.5824
CA-Cbo,Dfb,2016,161,-79.9341,44.3184,0.5792
CA-Cbo,Dfb,2016,177,-79.9341,44.3184,0.6688
CA-Cbo,Dfb,2016,193,-79.9341,44.3184,0.6146
CA-Cbo,Dfb,2016,209,-79.9341,44.3184,0.5975
CA-Cbo,Dfb,2016,225,-79.9341,44.3184,0.6167
CA-Cbo,Dfb,2016,241,-79.9341,44.3184,0.6292
CA-Cbo,Dfb,2016,257,-79.9341,44.3184,0.519
CA-Cbo,Dfb,2016,273,-79.9341,44.3184,0.4566
CA-Cbo,Dfb,2016,289,-79.9341,44.3184,0.36
CA-Cbo,Dfb,2016,305,-79.9341,44.3184,0.2675
CA-Cbo,Dfb,2016,321,-79.9341,44.3184,0.3293
CA-Cbo,Dfb,2016,337,-79.9341,44.3184,0.1124
CA-Cbo,Dfb,2016,353,-79.9341,44.3184,0.3118
CA-Cbo,Dfb,2017,1,-79.9341,44.3184,0.1813
CA-Cbo,Dfb,2017,17,-79.9341,44.3184,0.2719
CA-Cbo,Dfb,2017,33,-79.9341,44.3184,0.2218
CA-Cbo,Dfb,2017,49,-79.9341,44.3184,0.2867
CA-Cbo,Dfb,2017,65,-79.9341,44.3184,0.198
CA-Cbo,Dfb,2017,81,-79.9341,44.3184,0.2647
CA-Cbo,Dfb,2017,97,-79.9341,44.3184,0.2861
CA-Cbo,Dfb,2017,113,-79.9341,44.3184,0.3227
CA-Cbo,Dfb,2017,129,-79.9341,44.3184,0.3754
CA-Cbo,Dfb,2017,145,-79.9341,44.3184,0.5575
CA-Cbo,Dfb,2017,161,-79.9341,44.3184,0.5397
CA-Cbo,Dfb,2017,177,-79.9341,44.3184,0.5995
CA-Cbo,Dfb,2017,193,-79.9341,44.3184,0.6401
CA-Cbo,Dfb,2017,209,-79.9341,44.3184,0.6779
CA-Cbo,Dfb,2017,225,-79.9341,44.3184,0.5958
CA-Cbo,Dfb,2017,241,-79.9341,44.3184,0.5124
CA-Cbo,Dfb,2017,257,-79.9341,44.3184,0.4872
CA-Cbo,Dfb,2017,273,-79.9341,44.3184,0.5117
CA-Cbo,Dfb,2017,289,-79.9341,44.3184,0.287
CA-Cbo,Dfb,2017,305,-79.9341,44.3184,0.2974
CA-Cbo,Dfb,2017,321,-79.9341,44.3184,0.2444
CA-Cbo,Dfb,2017,337,-79.9341,44.3184,0.1387
CA-Cbo,Dfb,2017,353,-79.9341,44.3184,0.1553
CA-Cbo,Dfb,2018,1,-79.9341,44.3184,0.2285
CA-Cbo,Dfb,2018,17,-79.9341,44.3184,0.1848
CA-Cbo,Dfb,2018,33,-79.9341,44.3184,0.1967
CA-Cbo,Dfb,2018,49,-79.9341,44.3184,0.2546
CA-Cbo,Dfb,2018,65,-79.9341,44.3184,0.2139
CA-Cbo,Dfb,2018,81,-79.9341,44.3184,0.218
CA-Cbo,Dfb,2018,97,-79.9341,44.3184,0.2544
CA-Cbo,Dfb,2018,113,-79.9341,44.3184,0.2412
CA-Cbo,Dfb,2018,129,-79.9341,44.3184,0.3386
CA-Cbo,Dfb,2018,145,-79.9341,44.3184,0.5205
CA-Cbo,Dfb,2018,161,-79.9341,44.3184,0.6691
CA-Cbo,Dfb,2018,177,-79.9341,44.3184,0.7258
CA-Cbo,Dfb,2018,193,-79.9341,44.3184,0.5702
CA-Cbo,Dfb,2018,209,-79.9341,44.3184,0.6715
CA-Cbo,Dfb,2018,225,-79.9341,44.3184,0.652
CA-Cbo,Dfb,2018,241,-79.9341,44.3184,0.6296
CA-Cbo,Dfb,2018,257,-79.9341,44.3184,0.4833
CA-Cbo,Dfb,2018,273,-79.9341,44.3184,0.517
CA-Cbo,Dfb,2018,289,-79.9341,44.3184,0.3097
CA-Cbo,Dfb,2018,305,-79.9341,44.3184,0.2766
CA-Cbo,Dfb,2018,321,-79.9341,44.3184,0.1919
CA-Cbo,Dfb,2018,337,-79.9341,44.3184,0.2806
CA-Cbo,Dfb,2018,353,-79.9341,44.3184,0.3978
CA-Cbo,Dfb,2019,1,-79.9341,44.3184,0.1994
CA-Cbo,Dfb,2019,17,-79.9341,44.3184,0.2063
CA-Cbo,Dfb,2019,33,-79.9341,44.3184,0.3105
CA-Cbo,Dfb,2019,49,-79.9341,44.3184,0.1675
CA-Cbo,Dfb,2019,65,-79.9341,44.3184,0.1675
CA-Cbo,Dfb,2019,81,-79.9341,44.3184,0.2497
CA-Cbo,Dfb,2019,97,-79.9341,44.3184,0.2315
CA-Cbo,Dfb,2019,113,-79.9341,44.3184,0.3334
CA-Cbo,Dfb,2019,129,-79.9341,44.3184,0.3339
CA-Cbo,Dfb,2019,145,-79.9341,44.3184,0.4993
CA-Cbo,Dfb,2019,161,-79.9341,44.3184,0.625
CA-Cbo,Dfb,2019,177,-79.9341,44.3184,0.6941
CA-Cbo,Dfb,2019,193,-79.9341,44.3184,0.6194
CA-Cbo,Dfb,2019,209,-79.9341,44.3184,0.6731
CA-Cbo,Dfb,2019,225,-79.9341,44.3184,0.7159
CA-Cbo,Dfb,2019,241,-79.9341,44.3184,0.6086
CA-Cbo,Dfb,2019,257,-79.9341,44.3184,0.5575
CA-Cbo,Dfb,2019,273,-79.9341,44.3184,0.4353
CA-Cbo,Dfb,2019,289,-79.9341,44.3184,0.3129
CA-Cbo,Dfb,2019,305,-79.9341,44.3184,0.1721
CA-Cbo,Dfb,2019,321,-79.9341,44.3184,0.2817
CA-Cbo,Dfb,2019,337,-79.9341,44.3184,0.1464
CA-Cbo,Dfb,2019,353,-79.9341,44.3184,0.1861
CA-Cbo,Dfb,2020,1,-79.9341,44.3184,0.1946
CA-Cbo,Dfb,2020,17,-79.9341,44.3184,0.2948
CA-Cbo,Dfb,2020,33,-79.9341,44.3184,0.2059
CA-Cbo,Dfb,2020,49,-79.9341,44.3184,0.2141
CA-Cbo,Dfb,2020,65,-79.9341,44.3184,0.3781
CA-Cbo,Dfb,2020,81,-79.9341,44.3184,0.2725
CA-Cbo,Dfb,2020,97,-79.9341,44.3184,0.2133
CA-Cbo,Dfb,2020,113,-79.9341,44.3184,0.2524
CA-Cbo,Dfb,2020,129,-79.9341,44.3184,0.4236
CA-Cbo,Dfb,2020,145,-79.9341,44.3184,0.6247
CA-Cbo,Dfb,2020,161,-79.9341,44.3184,0.5886
CA-Cbo,Dfb,2020,177,-79.9341,44.3184,0.6498
CA-Cbo,Dfb,2020,193,-79.9341,44.3184,0.6178
CA-Cbo,Dfb,2020,209,-79.9341,44.3184,0.7111
CA-Cbo,Dfb,2020,225,-79.9341,44.3184,0.5851
CA-Cbo,Dfb,2020,241,-79.9341,44.3184,0.5608
CA-Cbo,Dfb,2020,257,-79.9341,44.3184,0.5619
CA-Cbo,Dfb,2020,273,-79.9341,44.3184,0.4431
CA-Cbo,Dfb,2020,289,-79.9341,44.3184,0.3253
CA-Cbo,Dfb,2020,305,-79.9341,44.3184,0.3212
